"","#0F4A9C","#53f1fc","#635547","#67000d","#7F6874","#8870ad","#90BF75","#9e6762","#C594BF","#DABE99","#DFCDE4","#EF5A9D","#cc7818","#d6616b","#ffad1e","#ffd854"
"0610005C13Rik",0,0,0,0,15,0,0,0,0,0,0,0,0,0,1,0
"0610007P14Rik",7,9,63,11,8,16,43,12,81,16,15,20,31,39,9,76
"0610009B22Rik",5,5,41,2,5,11,54,9,54,12,23,18,39,8,0,44
"0610009L18Rik",0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1
"0610009O20Rik",3,5,55,4,6,8,28,6,66,14,13,14,27,5,1,26
"0610010B08Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0610010B08Rik;Gm4724",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0610010F05Rik",3,5,28,5,5,4,16,4,34,15,8,7,11,12,0,25
"0610010K14Rik;Rnasek",19,16,181,40,70,40,118,35,229,75,56,69,97,102,15,187
"0610011F06Rik",5,1,37,2,13,4,26,7,19,13,5,9,10,9,2,39
"0610012G03Rik",8,13,79,19,18,28,57,8,120,23,22,29,69,52,9,74
"0610030E20Rik",3,4,64,8,4,11,37,9,77,9,12,10,40,16,3,48
"0610031O16Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0610037L13Rik",3,7,39,4,5,12,40,5,73,15,20,13,29,23,1,43
"0610038B21Rik;AK166159",0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,1
"0610039H22Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0610039K10Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0610040B10Rik",0,1,2,0,0,1,1,0,1,1,0,2,0,0,0,2
"0610040F04Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0610040J01Rik",0,0,1,0,14,0,2,0,2,1,0,2,0,0,2,4
"0610043K17Rik",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"1010001N08Rik",0,1,0,0,0,0,1,0,0,0,0,1,2,0,0,0
"1110001J03Rik",10,7,51,1,17,4,39,11,42,19,8,18,18,22,2,25
"1110002L01Rik",1,4,30,4,1,6,13,0,37,11,8,0,9,6,1,14
"1110004E09Rik",30,8,88,25,10,11,64,16,65,33,10,28,39,38,8,114
"1110004F10Rik",14,41,304,27,18,49,241,42,319,108,86,61,172,124,17,216
"1110006O24Rik",0,0,5,0,1,1,1,2,4,2,1,0,0,0,0,2
"1110008F13Rik",16,24,280,36,47,59,240,39,354,86,82,79,176,165,26,373
"1110008L16Rik",2,4,39,3,0,7,28,8,34,11,6,8,12,13,4,29
"1110008P14Rik",2,4,27,12,3,4,23,2,40,8,2,8,14,57,4,57
"1110012L19Rik",2,5,25,1,2,8,20,4,39,16,11,3,36,8,1,22
"1110015O18Rik",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"1110017D15Rik",14,0,4,0,0,0,0,0,2,0,0,1,0,0,0,2
"1110019D14Rik",1,0,10,0,2,0,2,1,12,3,0,1,3,0,0,6
"1110020A21Rik",0,0,2,0,0,1,2,3,4,0,1,1,1,0,0,2
"1110025L11Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1110028F11Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1110028F18Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1110032A03Rik",4,2,8,0,4,2,7,0,13,6,7,10,10,3,0,5
"1110032F04Rik",0,0,5,0,1,3,7,1,3,1,3,0,1,0,0,1
"1110034G24Rik",1,0,11,0,2,3,9,5,8,4,1,1,10,8,0,6
"1110036E04Rik",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"1110037F02Rik",3,10,72,6,18,14,44,11,125,20,13,20,50,42,5,68
"1110038B12Rik",31,33,339,18,27,49,258,42,451,114,107,104,118,83,7,168
"1110038F14Rik",3,4,64,5,1,9,35,7,84,17,24,15,25,24,4,62
"1110046J04Rik",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"1110051M20Rik",3,3,16,2,3,2,14,5,29,4,6,5,13,5,0,9
"1110058D11Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1110059E24Rik",5,4,58,3,4,15,42,6,67,18,13,19,37,24,2,35
"1110059G10Rik",2,4,26,7,4,11,24,7,52,9,8,2,29,20,2,25
"1110065P20Rik",1,10,49,6,6,12,35,8,62,13,15,15,18,32,3,44
"1190002N15Rik",1,7,59,1,6,2,53,10,48,27,12,11,29,2,1,12
"1190003K10Rik",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"1190005I06Rik;Emc8;Emc8-1190005i06rik",15,16,226,22,19,41,154,24,223,55,41,44,108,48,15,179
"1190007I07Rik",3,4,29,0,9,7,27,9,25,21,13,9,22,6,6,43
"1300002E11Rik",1,0,6,0,1,2,4,0,11,4,2,3,5,0,1,10
"1300017J02Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1500004A13Rik;AK014401",0,0,8,0,0,0,5,0,0,0,0,0,0,0,0,0
"1500009C09Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1500009L16Rik",5,0,30,1,2,2,20,4,27,11,6,6,10,13,7,62
"1500011B03Rik",4,2,46,3,2,4,37,7,53,9,3,7,9,5,1,18
