"","#0F4A9C","#53f1fc","#635547","#67000d","#7F6874","#8870ad","#90BF75","#9e6762","#C594BF","#DABE99","#DFCDE4","#EF5A9D","#cc7818","#d6616b","#ffad1e","#ffd854"
"0610005C13Rik",0,0,0,0,10,0,0,0,0,1,0,0,0,0,0,0
"0610007P14Rik",16,8,95,15,17,21,63,9,141,60,32,32,31,15,1,63
"0610009B22Rik",21,9,78,1,12,31,79,17,161,75,23,34,28,3,2,36
"0610009L18Rik",0,0,1,0,1,0,0,0,2,0,0,0,1,0,0,0
"0610009O20Rik",9,3,64,2,6,10,49,5,78,38,24,17,24,7,1,18
"0610010B08Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0610010B08Rik;Gm4724",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0610010F05Rik",7,2,34,2,5,6,22,3,30,11,6,16,12,6,0,9
"0610010K14Rik;Rnasek",53,28,293,19,89,87,242,35,501,184,99,128,99,56,15,162
"0610011F06Rik",16,4,60,1,8,14,36,4,62,28,11,19,13,4,1,26
"0610012G03Rik",15,14,117,6,23,48,76,12,233,56,44,39,55,10,10,50
"0610030E20Rik",12,7,48,6,6,11,31,12,76,38,24,19,17,10,3,25
"0610031O16Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0610037L13Rik",14,3,45,2,6,24,44,7,117,48,24,20,46,10,0,38
"0610038B21Rik;AK166159",0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0
"0610039H22Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0610039K10Rik",0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
"0610040B10Rik",0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0
"0610040F04Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0610040J01Rik",1,0,0,0,13,0,4,0,4,4,1,4,0,0,2,5
"0610043K17Rik",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"1010001N08Rik",0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0
"1110001J03Rik",14,3,65,7,9,30,62,9,80,49,15,45,32,10,6,30
"1110002L01Rik",6,5,30,0,6,10,27,1,52,9,9,6,18,6,0,16
"1110004E09Rik",61,5,92,17,8,17,78,7,109,65,19,33,28,18,11,65
"1110004F10Rik",48,41,379,28,31,124,311,53,680,260,162,122,164,49,12,173
"1110006O24Rik",0,0,1,0,0,0,3,1,7,2,0,0,0,0,0,0
"1110008F13Rik",67,51,449,37,58,98,320,51,671,260,166,158,162,69,16,273
"1110008L16Rik",7,0,44,1,3,9,33,5,69,32,16,15,8,1,2,7
"1110008P14Rik",6,4,41,13,4,16,32,3,57,19,9,22,12,33,4,33
"1110012L19Rik",10,1,33,1,3,15,38,8,86,23,19,12,10,3,0,8
"1110015O18Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1110017D15Rik",38,0,2,0,0,0,1,1,2,3,0,0,0,0,1,1
"1110019D14Rik",1,0,5,1,0,0,10,3,4,6,2,0,5,2,1,3
"1110020A21Rik",1,1,6,0,0,1,12,0,3,7,1,1,4,0,0,3
"1110025L11Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1110028F11Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1110028F18Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1110032A03Rik",8,0,19,0,0,5,18,2,31,11,9,2,10,0,0,6
"1110032F04Rik",1,0,2,1,0,3,4,0,8,0,1,1,2,0,0,0
"1110034G24Rik",2,0,7,0,2,9,12,3,33,6,5,2,5,3,1,6
"1110036E04Rik",1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0
"1110037F02Rik",13,12,106,10,10,29,81,8,170,65,38,32,41,22,4,48
"1110038B12Rik",83,47,438,18,49,146,377,55,920,318,157,197,144,37,16,151
"1110038F14Rik",5,6,78,5,1,15,54,4,102,48,19,24,24,5,4,25
"1110046J04Rik",0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
"1110051M20Rik",14,2,26,3,1,6,28,5,49,25,13,14,12,1,1,7
"1110058D11Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1110059E24Rik",16,11,89,1,15,42,87,7,132,55,32,28,44,3,1,39
"1110059G10Rik",6,3,44,2,9,19,26,6,106,23,22,21,31,7,1,30
"1110065P20Rik",3,7,55,5,8,18,41,9,100,29,18,25,21,12,4,19
"1190002N15Rik",8,8,73,5,10,28,71,12,157,77,32,27,63,1,0,18
"1190003K10Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1190005I06Rik;Emc8;Emc8-1190005i06rik",24,19,305,10,18,64,161,20,379,130,56,103,115,26,12,129
"1190007I07Rik",11,0,58,2,11,13,54,1,80,42,18,27,19,4,4,43
"1300002E11Rik",4,0,11,2,1,5,12,1,9,6,3,4,0,0,0,2
"1300017J02Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1500004A13Rik;AK014401",0,0,4,0,0,0,5,0,4,2,0,0,0,0,0,0
"1500009C09Rik",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"1500009L16Rik",14,0,44,1,2,12,33,6,50,18,15,12,14,5,5,30
"1500011B03Rik",7,6,48,0,2,12,49,6,84,38,18,21,16,2,1,19
"1500011K16Rik",3,3,29,4,6,12,27,3,19,13,4,8,10,3,0,18
"1500012K07Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1500015A07Rik",0,2,12,0,0,2,6,0,17,5,1,1,3,2,1,1
"1500015L24Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1500015O10Rik",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"1500017E21Rik",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
"1500026H17Rik",0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,2
"1600002D24Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1600002H07Rik",6,6,45,3,4,10,47,8,78,24,19,11,12,6,1,24
"1600002K03Rik",1,0,21,3,1,4,14,0,34,11,6,11,7,4,1,12
"1600010M07Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1600012H06Rik",5,1,30,1,8,9,33,3,75,23,10,12,20,6,1,20
"1600012P17Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1600014C10Rik",3,0,3,0,2,0,10,1,18,3,1,3,3,4,0,1
"1600014C23Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1600015I10Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1600019K03Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1600020E01Rik",2,0,21,0,2,6,10,2,26,11,9,7,3,2,0,10
"1600023N17Rik",0,0,1,0,0,2,0,1,0,1,1,0,0,0,0,0
"1600025M17Rik",0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0
"1600027J07Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1600029I14Rik;Nme9",6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"1600029O15Rik",0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
"1700001C02Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700001C19Rik",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"1700001D01Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700001F09Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700001G01Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700001G11Rik",0,0,2,0,0,0,1,0,1,1,0,1,0,1,0,0
"1700001G17Rik",1,0,1,0,0,0,0,0,3,2,0,0,0,0,0,0
"1700001J03Rik",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700001J11Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700001K19Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700001K23Rik",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"1700001L05Rik",2,1,6,1,7,0,7,1,4,4,1,4,3,1,1,7
"1700001L19Rik",0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,1
"1700001O22Rik",2,0,2,0,0,0,1,0,2,0,0,0,0,0,0,0
"1700001P01Rik",1,1,0,0,0,1,1,0,2,0,0,1,0,0,0,0
"1700003C15Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700003D09Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700003E16Rik",15,0,3,0,0,0,0,0,2,2,0,0,0,0,0,0
"1700003F12Rik",0,0,4,0,0,0,2,2,6,2,0,2,0,0,0,0
"1700003G13Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700003G18Rik",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700003H04Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700003I22Rik",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"1700003L19Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700003M07Rik",8,0,2,0,0,0,1,1,1,0,0,0,0,0,0,1
"1700003P14Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700006A11Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700006E09Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700006F04Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700006H21Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700007B14Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700007F19Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700007G11Rik",3,0,4,0,0,0,1,1,3,2,0,2,0,0,0,0
"1700007J10Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700007K09Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700007K13Rik",21,0,6,0,0,0,4,0,5,2,1,1,0,0,0,10
"1700007L15Rik",1,0,9,1,1,1,4,1,14,4,1,0,2,1,0,6
"1700007P06Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700008C04Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700008J07Rik",2,0,8,0,1,3,5,0,33,8,2,2,3,2,0,2
"1700008K24Rik;DQ699514",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"1700008O03Rik",2,0,3,0,0,0,1,0,2,2,0,1,0,0,0,3
"1700008P02Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700009C05Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700009J07Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700009N14Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700010B08Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700010D01Rik",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"1700010H22Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700010I02Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700010I14Rik",5,0,5,0,0,2,6,2,8,8,5,1,1,0,0,1
"1700010J16Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700010K23Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700011A15Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700011B04Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700011C11Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700011E24Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700011H14Rik",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
"1700011I03Rik",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"1700011L22Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700011M02Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700012A03Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700012B07Rik",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"1700012B09Rik",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700012C14Rik",0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0
"1700012D01Rik;Tmem194",7,5,30,1,4,8,21,1,53,20,14,8,26,6,2,11
"1700012D14Rik;AK031468",0,0,2,0,0,1,0,0,2,6,2,1,0,0,0,0
"1700012D16Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700012H19Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700012I11Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700012L04Rik",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"1700012P22Rik",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700013D24Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700013F07Rik",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700013G24Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700013H16Rik",3,0,18,0,0,0,22,4,10,17,1,0,0,0,0,0
"1700015E13Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700015F17Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700015G11Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700016C15Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700016D06Rik",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"1700016G22Rik",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"1700016H13Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700016K19Rik",21,0,3,0,0,0,0,0,3,3,0,0,0,0,1,3
"1700016L04Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700016L21Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700016P04Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700017B05Rik",4,2,72,8,8,13,47,4,104,18,22,22,62,21,3,46
"1700017D01Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700017G19Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700017J07Rik",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
"1700017L05Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700017N19Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700018A04Rik",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"1700018B08Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700018B24Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
"1700018C11Rik",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"1700018F24Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700018G05Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700018L02Rik",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"1700019A02Rik",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"1700019B03Rik",0,0,6,0,0,0,4,0,1,1,0,0,1,0,0,0
"1700019B21Rik",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700019C18Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700019D03Rik",0,0,27,0,6,0,14,1,8,12,1,4,0,0,0,10
"1700019E08Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700019G24Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700019M22Rik",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"1700019N19Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700019O17Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700020A23Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700020D05Rik",0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0
"1700020D14Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700020G17Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700020I14Rik",4,10,33,1,5,12,27,10,85,21,20,14,15,4,2,20
"1700020L24Rik",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700020M21Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700020N01Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700020N15Rik",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"1700020N18Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700021F05Rik",7,1,40,9,8,18,39,5,66,34,21,8,16,19,6,55
"1700021F07Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700021N21Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700022A21Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700022A22Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700022E09Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700022H01Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700022H16Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700022I11Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700023C21Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700023F02Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700023F06Rik",0,0,0,0,0,1,3,1,3,0,0,1,0,0,1,4
"1700024B18Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700024F13Rik;2810429I04Rik",0,1,9,1,0,0,5,1,6,7,0,0,1,1,0,2
"1700024G13Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700024I08Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700024N05Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700024P04Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700024P16Rik",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"1700025B11Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700025C18Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700025F22Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700025F24Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700025G04Rik",3,4,19,4,2,11,19,2,53,18,7,12,28,11,3,52
"1700025J12Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700025K24Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700025M24Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700025N23Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700026D11Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700026F02Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700026J14Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700026L06Rik",2,0,0,0,0,1,0,0,2,1,0,2,0,0,0,0
"1700027A15Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700027F06Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700027F09Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700027H10Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700027I24Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700027J07Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700028B04Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700028D13Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700028E10Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700028I16Rik",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
"1700028J19Rik",0,0,1,0,0,2,1,1,1,1,2,1,0,0,1,1
"1700028K03Rik;A830010M20Rik",0,1,4,0,0,1,5,1,7,3,1,0,0,0,0,3
"1700028M03Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700028P14Rik",18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700028P15Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700029B22Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700029F12Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700029H14Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1700029I15Rik",0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0
"1700029J03Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700029J07Rik",2,1,1,0,0,1,1,1,6,2,1,1,0,0,0,0
"1700029M20Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"1700029N11Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700029P11Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1700030A11Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700030C10Rik",0,0,10,6,3,9,12,0,25,12,8,5,5,1,0,15
"1700030F04Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700030F18Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700030J22Rik",11,0,4,0,1,4,5,0,7,2,1,4,2,1,1,1
"1700030K09Rik",3,2,11,0,1,3,7,1,16,8,1,0,3,1,0,3
"1700030L20Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700030M09Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700030N03Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700030O20Rik",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"1700031A10Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700031F05Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700031F10Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700031M16Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700031P21Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700034E13Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700034G24Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700034H15Rik;AK076925",0,0,0,0,0,1,0,0,2,0,0,1,3,1,0,1
"1700034I23Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700034J05Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700034K08Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700034O15Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1700034P13Rik",0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0
"1700036G14Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700037C18Rik",0,0,1,1,0,1,0,0,2,0,0,0,2,0,0,0
"1700037H04Rik",13,11,110,5,3,23,65,7,151,51,26,33,34,3,1,57
"1700039E15Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700039E22Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700040L02Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700041A01Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700041B01Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700041C23Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700041M19Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700042G07Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700042G15Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700042O10Rik",0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0
"1700044C05Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700044K03Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700045H11Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700046C09Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700047A11Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700047E10Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700047G03Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1700047L14Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700047M11Rik;AK047804",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700048M11Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700048O20Rik",1,1,15,0,0,6,15,0,45,8,9,6,8,0,0,1
"1700049E15Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700049E22Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700049G17Rik;BC061462",2,1,6,0,2,6,7,0,10,6,3,3,0,0,1,0
"1700049L16Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700051A21Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700052I22Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700052K11Rik",1,1,4,0,0,2,0,0,9,3,3,1,0,0,0,1
"1700054A03Rik",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"1700054K19Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700054M17Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700055C04Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700056E22Rik",0,0,1,0,0,0,0,0,2,3,2,1,1,1,1,1
"1700057G04Rik",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"1700057H15Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700057H21Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700060C16Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700060C20Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700061F12Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700061G19Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700061I17Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700061J23Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
